FIELD_ID	CATEGORY	QUESTION_OR_EXACT_CASE	PRIOR_EVIDENCE	CURRENT_J4_ACTION	STATUS	EXACT_SCOPE	NOT_PROVEN_BEYOND	PROVENANCE
S01	SHORT_CIRCUIT	AND second-operand execution	No accepted current AND surface	No differential control or candidate executed	NOT_PROVEN	Short-circuit prerequisite was not met	Any AND short-circuit rule	J4 opening contract
S02	SHORT_CIRCUIT	OR second-operand execution	No accepted current OR surface	No differential control or candidate executed	NOT_PROVEN	Short-circuit prerequisite was not met	Any OR short-circuit rule	J4 opening contract
C01	COERCION	1 + 1.5 printed 2.5	Exact output inherited	No duplicate rerun; no type introspection	NOT_PROVEN	Output-level exact case preserved	INT-to-FLOAT conversion; result type; general numeric coercion	J4 opening contract; J2 checkpoint
C02	COERCION	2 + (3 < 4) printed 3	Exact output inherited	No duplicate rerun; no type introspection	NOT_PROVEN	Output-level exact case preserved	BOOL-to-INT conversion; internal BOOL type; general compatibility	J4 opening contract; J2 checkpoint
C03	COERCION	"x" + "y" printed xy	Exact output inherited	No duplicate rerun	NOT_PROVEN	Same-form string result preserved	String coercion; mixed string conversion; result type	J4 opening contract; J2 checkpoint
C04	COERCION	Reverse mixed-numeric direction	Not covered by inherited exact pair	No runtime test authorized	ENVIRONMENT_BLOCKED	No reverse-direction fixture executed	Symmetry; acceptance; runtime conversion	J4 test plan
F01	FLOORDIV_COMMENT_BOUNDARY	Exact infix 4 // 2	Compiler rejected in prior tested context	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact infix source and context only	All spacing; comments; runtime FLOORDIV	J4 opening contract
F02	FLOORDIV_COMMENT_BOUNDARY	Trailing // after completed statement	Neutral/comment-like behavior separately evidenced	Frozen exact scope reused without rerun	EXECUTION_OBSERVED_EXACT_CASE	Exact inherited trailing form only	Universal comment grammar; line-leading form; FLOORDIV identity	J4 opening contract
F03	FLOORDIV_COMMENT_BOUNDARY	Line-leading //	No exact inherited closure	No runtime test authorized	ENVIRONMENT_BLOCKED	No line-leading source created or compiled	Compiler treatment; comment behavior	J4 test plan
F04	FLOORDIV_COMMENT_BOUNDARY	Historical FLOORDIV versus current // roles	Historical FLOORDIV scope, current infix rejection, and trailing comment-like evidence coexist	Conflict preserved	CONFLICTED	No silent reconciliation performed	Current FLOORDIV token, runtime behavior, universal comment rule	J4 opening contract; WS04
P01	PRECEDENCE_GAPS	Unary minus versus exponentiation	Unary minus and exponentiation each have bounded evidence; relative precedence remains open	No matched differential executed	NOT_PROVEN	J2's three closed relations were not rerun	Unary-minus/exponentiation precedence	J2 checkpoint; J4 opening contract
I01	INVALID_OPERAND_BEHAVIOR	1 / 0	Compiler accepted; VM process RC=12 in exact inherited case	Frozen failure reused without rerun	EXECUTION_OBSERVED_EXACT_CASE	Exact source, stage, and process RC only	Stable symbolic error code; all zero-division cases	J4 opening contract
I02	INVALID_OPERAND_BEHAVIOR	NOT 0	Compiler rejected exact inherited case	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact source form only	Universal NOT support or operand matrix	J4 opening contract
I03	INVALID_OPERAND_BEHAVIOR	"x" + 1	Compiler rejected exact inherited case	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact operand direction only	General string/numeric compatibility	J4 opening contract
I04	INVALID_OPERAND_BEHAVIOR	1 + "x"	Compiler rejected exact inherited case	Frozen rejection reused without rerun	COMPILER_REJECTED_EXACT_CASE	Exact operand direction only	General string/numeric compatibility	J4 opening contract
