ARTIFACT_ID	ROLE	PATH	SHA256	SIZE_BYTES	SOURCE_COMMIT	ORIGIN_ENVIRONMENT	GENERATED_BY	GENERATED_FROM	CURRENT_OR_ARCHIVED	EVIDENCE_STATUS	REPRODUCIBILITY_STATUS	NOT_PROVEN_BEYOND
SUITE_CONFLICTED_CASES	public conflicted cases	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/CONFLICTED_CASES.tsv	NOT_CAPTURED	2487	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
SUITE_PROVENANCE_MAP	public suite provenance map	BRAIN/CONFORMANCE/SIGMA_PSI_PUBLIC_CONFORMANCE/PROVENANCE_MAP.tsv	NOT_CAPTURED	2223	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window G	Windows A-F freeze evidence	ARCHIVED_AT_WINDOW_G	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, regenerated suite identity
CHECKPOINT_AFTER_G	active checkpoint after Window G	BRAIN/WORKSTREAMS/SIGMA_PSI/SIGMA_ACTIVE_MINIMAL_CHECKPOINT_AFTER_WINDOW_G_20260826.md	NOT_CAPTURED	1099	39c6dd40a0963d69ebc3b2c3f5e7dde6ce80d17f	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_A_REPORT	Window A frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_A_EXECUTABLE_SURFACE_FINAL_FREEZE_20260826.md	NOT_CAPTURED	19441	fa683b1f0d24085e1c109bf3d5e1c330ab22c177	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_B_REPORT	Window B frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_B_TYPES_VALUES_OPERATORS_FREEZE_RESULT_20260826.md	NOT_CAPTURED	20367	caa0100d7bbbe934f77252125479b7d8af548960	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_C_REPORT	Window C frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_C_BYTECODE_ABI_FREEZE_RESULT_20260826.md	NOT_CAPTURED	23576	2ace6457f4627ea7f1ddba8e7521b8b09f2fb42b	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_D_REPORT	Window D frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_D_VM_RUNTIME_CONTRACT_FREEZE_RESULT_20260826.md	NOT_CAPTURED	17069	c0f9b3109e256db29c7dcafc47b7d2387558e6f2	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_E_REPORT	Window E frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_E_ERROR_CONFORMANCE_FREEZE_RESULT_20260826.md	NOT_CAPTURED	28784	50e0bd2728f3681483888c298ce69bb6ec975443	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_F_REPORT	Window F frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_F_SEMANTIC_LANGUAGE_LAYER_FREEZE_RESULT_20260826.md	NOT_CAPTURED	12407	25fdf0109658d4e1fc97d72fd4c701c44401ba0c	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
WINDOW_G_REPORT	Window G frozen report	BRAIN/WORKSTREAMS/SIGMA_PSI/WINDOW_G_PUBLIC_CONFORMANCE_SUITE_FREEZE_RESULT_20260826.md	NOT_CAPTURED	10188	c2f18816a92b4912c02fe4cbdeccb3bd2637e7e9	GitHub repository SIGMA_LIFE	Window freeze process	prior window evidence	ARCHIVED_OR_CURRENT_CHECKPOINT	GIT_BLOB_SHA1_ONLY	ARCHIVED_ONLY;NOT_PROVEN_REPRODUCIBLE	SHA256, independent regeneration
