FIELD_ID	SECTION	FIELD	EVIDENCE	STATUS	BOUNDED_CLAIM	NOT_PROVEN_BEYOND
R-02	RETURN_INTERNALS	return value reaches caller	MOTHER_TEST_0002 records RETURN and caller continuation but no isolated returned-value observation.	NOT_PROVEN	RETURN_VALUE_TO_CALLER=NOT_PROVEN.	Value transport, absence, and placement remain unknown.
R-03	RETURN_INTERNALS	caller continuation after RETURN	Preserved MOTHER_TEST_0002 behavioral result: call -> callee -> RETURN -> caller continuation, VM RC=0.	BEHAVIORALLY_PROVEN_BOUNDED	Caller continuation occurs in the tested scope.	Exact restoration address, stack convention, and IP mechanism are not proven.
R-04	RETURN_INTERNALS	nested return behavior	No current fingerprint-bound nested-return differential.	NOT_PROVEN	NESTED_RETURN_BEHAVIOR=NOT_PROVEN.	Multi-level propagation and isolation remain unknown.
R-05	RETURN_INTERNALS	exact caller restoration mechanism	Caller continuation is behavioral only; no IP/frame trace.	NOT_PROVEN	CALLER_RESTORATION_MECHANISM=NOT_PROVEN.	Saved IP location, frame teardown, and restoration order remain unknown.
R-06	RETURN_INTERNALS	top-level RETURN interaction	No already-grounded top-level RETURN execution record.	NOT_PROVEN	TOP_LEVEL_RETURN_INTERACTION=NOT_PROVEN.	Acceptance, termination, result, and RC behavior remain unknown.
J-01	JUMP_RUNTIME	exact runtime opcode mapping for source-correlated 0x40	Compiler-output correlation only; J1 did not localize 0x40.	NOT_PROVEN	No JUMP byte mapping promoted.	Native dispatch identity remains unknown.
J-02	JUMP_RUNTIME	target basis	Fixture target 4 equals compiler-local instruction ordinal 4.	NOT_PROVEN	JUMP_TARGET_BASIS=NOT_PROVEN.	Instruction ordinal vs byte offset and absolute vs relative interpretation remain unknown.
J-03	JUMP_RUNTIME	taken target/IP transition	WHILE behavior is preserved at source level; no opcode/IP trace or target mutation under current VM.	NOT_PROVEN	Exact taken transition not promoted.	Actual target assignment and pre/post-increment behavior remain unknown.
J-04	JUMP_RUNTIME	continuation after target	Loop continuation exists behaviorally but numeric IP sequence is unobserved.	NOT_PROVEN	Exact IP continuation rule not promoted.	Sequential advancement and target-entry point remain unknown.
J-05	JUMP_RUNTIME	target signedness, bounds, and fault behavior	No current-VM bounded target mutation and no malformed target execution.	NOT_PROVEN	Target validation behavior not promoted.	Signedness, range checks, RC, stderr, and abort stage remain unknown.
JF-01	JUMP_IF_FALSE_RUNTIME	exact runtime opcode mapping for source-correlated 0x41	Compiler-output correlation only; J1 did not localize 0x41.	NOT_PROVEN	No JUMP_IF_FALSE byte mapping promoted.	Native dispatch identity remains unknown.
JF-02	JUMP_IF_FALSE_RUNTIME	target basis	Fixture target 17 equals compiler-local terminal instruction ordinal 17.	NOT_PROVEN	JUMP_IF_FALSE_TARGET_BASIS=NOT_PROVEN.	Instruction ordinal vs byte offset and absolute vs relative interpretation remain unknown.
JF-03	JUMP_IF_FALSE_RUNTIME	false/taken target transition	IF/WHILE behavior is preserved; no current opcode/IP trace.	NOT_PROVEN	Exact false/taken transition not promoted.	Condition representation and target assignment remain unlocalized.
JF-04	JUMP_IF_FALSE_RUNTIME	not-false/not-taken continuation	Branch behavior is preserved; no exact sequential IP transition trace.	NOT_PROVEN	Exact not-taken continuation not promoted.	Instruction advance basis remains unknown.
JF-05	JUMP_IF_FALSE_RUNTIME	conditional value consumption	No stack inspection before/after branch.	NOT_PROVEN	CONDITION_POP_OR_PEEK=NOT_PROVEN.	Pop, peek, retain, duplicate, or other handling cannot be inferred.
JF-06	JUMP_IF_FALSE_RUNTIME	target/IP continuation and validation	No isolated target mutation under the exact current VM.	NOT_PROVEN	Exact IP and target-validation rule not promoted.	Bounds, signedness, failure RC/stderr, and instruction entry point remain unknown.
SE-01	STACK_EFFECTS	0x01 source-correlated PUSH_CONST	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-02	STACK_EFFECTS	0x02 source-correlated POP_OR_DISCARD_RESULT	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-03	STACK_EFFECTS	0x10 source-correlated LOAD	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-04	STACK_EFFECTS	0x11 source-correlated STORE	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-05	STACK_EFFECTS	0x21 J1-localized BINARY dispatch	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-06	STACK_EFFECTS	0x30 source-correlated CALL	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-07	STACK_EFFECTS	0x31 source-correlated RETURN	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-08	STACK_EFFECTS	0x40 source-correlated JUMP	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-09	STACK_EFFECTS	0x41 source-correlated JUMP_IF_FALSE	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
SE-10	STACK_EFFECTS	0xFF J1-localized HALT/termination	No direct stack snapshot, trace, or before/after depth for this opcode.	NOT_PROVEN	STACK_BEFORE=NOT_PROVEN; STACK_AFTER=NOT_PROVEN; POP_COUNT=NOT_PROVEN; PUSH_COUNT=NOT_PROVEN.	Opcode name, source correlation, behavioral success, dispatch localization, or termination does not prove stack effect.
RP-01	RESULT_PROPAGATION	observable normal-run output correlation	Window A/D preserved a current valid run with byte-exact stdout, empty stderr, and VM RC=0.	BEHAVIORALLY_PROVEN_BOUNDED	A tested current run has an observable output correlated with successful execution.	Which internal value/transit supplied that output remains unknown.
RP-02	RESULT_PROPAGATION	function return reaches caller output	CALL/RETURN continuation is proven, but no isolated return-value-to-output record is preserved.	NOT_PROVEN	FUNCTION_RETURN_TO_CALLER_OUTPUT=NOT_PROVEN.	Return transport and print/output linkage remain unknown.
RP-03	RESULT_PROPAGATION	top-level result source	No direct result register, stack, or terminal value observation.	NOT_PROVEN	TOP_LEVEL_RESULT_SOURCE=NOT_PROVEN.	Last expression, explicit output, stack top, register, NULL, or other source cannot be selected.
RP-04	RESULT_PROPAGATION	termination consumes or preserves a value	0xFF termination is localized in tested scope; no terminal stack observation.	NOT_PROVEN	TERMINATION_VALUE_CONSUMPTION=NOT_PROVEN.	Pop, peek, discard, preserve, or no-value behavior remains unknown.
RP-05	RESULT_PROPAGATION	internal result relationship to process RC	Successful tested runs have RC=0; no differential internal result/RC localization.	NOT_PROVEN	RESULT_TO_PROCESS_RC_RELATIONSHIP=NOT_PROVEN.	RC=0 success observations do not define general result propagation or error ABI.
